"","AlphaCode"
"1","ALFL"
"2","AMCR"
"3","AMDU"
"4","AMGO"
"5","AMOY"
"6","AMRO"
"7","BANS"
"8","BAOR"
"9","BARS"
"10","BBGU"
"11","BBPL"
"12","BCCH"
"13","BLJA"
"14","BOBO"
"15","CAGO"
"16","CARW"
"17","CEDW"
"18","CHSP"
"19","CLRA"
"20","COGR"
"21","COTE"
"22","COYE"
"23","CSWA"
"24","DCCO"
"25","DUNL"
"26","EAKI"
"27","EAPH"
"28","EATO"
"29","EUST"
"30","GBHE"
"31","GCFL"
"32","GLIB"
"33","GRCA"
"34","GREG"
"35","GRHE"
"36","GRYE"
"37","HERG"
"38","HETH"
"39","HOFI"
"40","HOSP"
"41","KILL"
"42","LESA"
"43","LETE"
"44","LEYE"
"45","MALL"
"46","MODO"
"47","MUSW"
"48","NESP"
"49","NOCA"
"50","NOMO"
"51","NRWS"
"52","OSPR"
"53","PUMA"
"54","RECR"
"55","RUBL"
"56","RWBL"
"57","SALS"
"58","SBDO"
"59","SEOW"
"60","SEPL"
"61","SESA"
"62","SESP"
"63","SNEG"
"64","SOSP"
"65","SPSA"
"66","STSP"
"67","TRES"
"68","UNK_SP"
"69","WEVI"
"70","WIFL"
"71","WILL"
"72","WOTH"
"73","WRSA"
"74","YEWA"
