"","AlphaCode"
"1","totalbirds"
"2","saltysparrow"
"3","totalsparrow"
"4","ALFL"
"5","AMCR"
"6","AMDU"
"7","AMGO"
"8","AMOY"
"9","AMRO"
"10","BANS"
"11","BAOR"
"12","BARS"
"13","BBGU"
"14","BBPL"
"15","BCCH"
"16","BLJA"
"17","BOBO"
"18","CAGO"
"19","CARW"
"20","CEDW"
"21","CHSP"
"22","CLRA"
"23","COGR"
"24","COTE"
"25","COYE"
"26","CSWA"
"27","DCCO"
"28","DUNL"
"29","EAKI"
"30","EAPH"
"31","EATO"
"32","EUST"
"33","GBHE"
"34","GCFL"
"35","GLIB"
"36","GRCA"
"37","GREG"
"38","GRHE"
"39","GRYE"
"40","HERG"
"41","HETH"
"42","HOFI"
"43","HOSP"
"44","KILL"
"45","LESA"
"46","LETE"
"47","LEYE"
"48","MALL"
"49","MODO"
"50","MUSW"
"51","NESP"
"52","NOCA"
"53","NOMO"
"54","NRWS"
"55","OSPR"
"56","PUMA"
"57","RECR"
"58","RUBL"
"59","RWBL"
"60","SALS"
"61","SBDO"
"62","SEOW"
"63","SEPL"
"64","SESA"
"65","SESP"
"66","SNEG"
"67","SOSP"
"68","SPSA"
"69","STSP"
"70","TRES"
"71","UNK_SP"
"72","WEVI"
"73","WIFL"
"74","WILL"
"75","WOTH"
"76","WRSA"
"77","YEWA"
