"","PointID","Site","State","RegionNum","Treatment","VisitNum","runnel_age","Year","Point_X","Point_Y","SurveyWindow","SurveyDate","Month","Day","Observer","Tide","SurveyTime","TempF","Sky","WindSp","Noise","Site_Date","DistBand","AlphaCode","Count","feeding_guild","wetland_score"
"1","WPTL NAC","Winnapaug Town Land","RI",3,"No Action",2,NA,2023,-71.766984,41.33182,2,"6/2/2023",6,2,"JH","High/Rising","608",59,0,1,1,"WPTL NAC 6/2/2023  ","0-50m","ALFL",0,"AERIAL",3
"2","WPTL RUN","Winnapaug Town Land","RI",3,"Runnel",1,8,2021,-71.76859,41.330282,1,"5/10/2021",5,10,"ADF","High/Rising","7:30",46,2,2,1,"WPTL RUN 5/10/2021  ","0-50m","ALFL",0,"AERIAL",3
"3","WPTL REF","Winnapaug Town Land","RI",3,"Reference",1,NA,2021,-71.765935,41.336478,1,"5/10/2021",5,10,"ADF","High/Rising","8:45",50,2,2,1,"WPTL REF 5/10/2021  ","0-50m","ALFL",0,"AERIAL",3
"4","WPTL NAC","Winnapaug Town Land","RI",3,"No Action",1,NA,2021,-71.766984,41.33182,1,"5/10/2021",5,10,"ADF","High/Rising","8:00",46,2,2,1,"WPTL NAC 5/10/2021  ","0-50m","ALFL",0,"AERIAL",3
"5","WPTL NAC","Winnapaug Town Land","RI",3,"No Action",1,NA,2023,-71.766984,41.33182,1,"5/20/2023",5,20,"JH","Low/Rising","651",59,2,2,1,"WPTL NAC 5/20/2023  ","0-50m","ALFL",0,"AERIAL",3
"6","MM SHARP2","Moody Marsh","ME",2,"Reference",1,NA,2023,-70.5891,43.2696,1,"6/7/2023",6,7,"JLG/LG","Low/Falling","6:42",53,1,1,1,"MM SHARP2 6/7/2023  ","0-50m","ALFL",0,"AERIAL",3
"7","MM SHARP2","Moody Marsh","ME",2,"Reference",2,NA,2023,-70.5891,43.2696,2,"7/17/2023",7,17,"JLG","Low","9:00",73,1,0,1,"MM SHARP2 7/17/2023  ","0-50m","ALFL",0,"AERIAL",3
"8","WPTL REF","Winnapaug Town Land","RI",3,"Reference",2,NA,2023,-71.765935,41.336478,2,"6/2/2023",6,2,"JH","High/Rising","732",60,2,1,2,"WPTL REF 6/2/2023  ","0-50m","ALFL",0,"AERIAL",3
"9","MD RUN","Middlebridge","RI",3,"Runnel",2,6,2022,41.460933,-71.4481,3,"7/7/2022",7,7,"SM","Low/Falling","625",63,0,0,1,"MD RUN 7/7/2022  ","0-50m","ALFL",0,"AERIAL",3
"10","BCM SHARP3 - RUN","Broad Cove","MA",2,"Runnel",1,5,2022,-71.13327,41.7925,1,"5/23/2022",5,23,"JLG","Low","9:00",67,2,3,2,"BCM SHARP3 - RUN 5/23/2022  ","0-50m","ALFL",0,"AERIAL",3
"11","MD REF","Middlebridge","RI",3,"Reference",1,NA,2022,41.460094,-71.449401,2,"6/1/2022",6,1,"SM","Low/Rising","551",57,2,1,1,"MD REF 6/1/2022  ","0-50m","ALFL",0,"AERIAL",3
"12","WPF RUN","Weekapaug Foundation","RI",3,"Runnel",2,6,2023,-71.7759,41.3301,2,"6/2/2023",6,2,"JH","High/Rising","659",60,0,1,1,"WPF RUN 6/2/2023  ","0-50m","ALFL",0,"AERIAL",3
"13","WPF RUN","Weekapaug Foundation","RI",3,"Runnel",1,6,2023,-71.7759,41.3301,1,"5/20/2023",5,20,"JH","Low/Rising","743",60,2,2,1,"WPF RUN 5/20/2023  ","0-50m","ALFL",0,"AERIAL",3
"14","NR RUN","Narrow River","RI",3,"Runnel",1,7,2023,-71.464571,41.444954,2,"6/24/2023",6,24,"JH","Low","749",67,5,0,1,"NR RUN 6/24/2023  ","0-50m","ALFL",0,"AERIAL",3
"15","MD RUN","Middlebridge","RI",3,"Runnel",1,6,2022,41.460933,-71.4481,2,"6/23/2022",6,23,"SM","High/Falling","613",62,1,1,1,"MD RUN 6/23/2022  ","0-50m","ALFL",0,"AERIAL",3
"16","BCM SHARP1 - NAC","Broad Cove","MA",2,"No Action",2,NA,2022,-71.1339,41.795,2,"6/22/2022",6,22,"JLG","Low/Falling","7:41",63,2,1,2,"BCM SHARP1 - NAC 6/22/2022  ","0-50m","ALFL",0,"AERIAL",3
"17","RM REF","Round Marsh","RI",3,"Reference",1,NA,2023,-71.372664,41.509994,1,"5/31/2023",5,31,"JH","High/Falling","637",52,1,0,2,"RM REF 5/31/2023  ","0-50m","ALFL",0,"AERIAL",3
"18","MD NAC","Middlebridge","RI",3,"No Action",1,NA,2023,-71.4481,41.460933,2,"6/23/2023",6,23,"JH","Low","623",62,2,1,0,"MD NAC 6/23/2023  ","0-50m","ALFL",0,"AERIAL",3
"19","MD NAC","Middlebridge","RI",3,"No Action",2,NA,2023,-71.4481,41.460933,3,"7/10/2023",7,10,"JH","Low/Rising","830",70,2,2,1,"MD NAC 7/10/2023  ","0-50m","ALFL",0,"AERIAL",3
"20","DPR N Rest","Plum Island","MA",2,"Runnel",1,2,2021,-70.8095,42.7798,2,"6/23/2021",6,23,"ARP/NA","Low/Rising","7:25",60,0,3,0,"DPR N Rest 6/23/2021  ","0-50m","ALFL",0,"AERIAL",3
