RegionID,State,PointID,Treatment,LowMarshCC,HighMarshCC,SaltMarshTBorderCC,BrackishTBorderCC,InvasivesCC,PannesChannelsCC,OpenWater,UplandCC,Wrack,DeadSnags,SPALT_SHORT,SPALT_TALL,SPPAT,DISPI,JUGER,IVFRU,PHAUS,FORBS,RUMAR
2,MA,BCM SHARP3 - RUN,RUN,0,6,2,1,1,1,0,1,0,3,0,0,40,20,20,10,5,0,0
3,MA,BCM SHARP2 - REF,REF,1,6,0,1,1,0.5,0,1,0,0,0,0,15,15,60,0,0,0,0
3,RI,CN NAC,NAC,1,6,0,0,0.5,2,0,0,0,0,70,5,10,0,0,0,0,0,0
3,RI,CN REF,REF,0,6,0.5,0,0,0.5,3,0,0.5,0,50,0,20,10,5,0,0,0,0
2,RI,CN RUN,RUN,1,6,3,0,1,1,0,0,0,0,50,5,15,10,5,15,0,0,0
2,MA,DPR N Ref,REF,2,6,0,0,0,2,0,0,0,0,15,10,10,5,40,0,0,10,0
2,MA,DPR N Rest,RUN,2,5,1,0,0,3,0,0,0,0,35,10,10,0,25,0,0,0,0
3,MA,DPS S NAC,NAC,1,4,0,0,0,5,0,0,1,0,30,5,10,0,0,0,0,0,0
2,MA,DPR S Ref,REF,1,6,0,0,0,1,0,0,0,0,5,5,40,15,35,0,0,0,0
2,MA,DPR S Rest,RUN,1,5,3,0,0.5,2,0,0,0,0,40,5,30,0,0,15,0,0,0
2,MA,Essex NAC South,RUN,2,5,0,0,0,3,0,0,0,0,20,15,30,10,0,0,0,0,0
2,MA,Essex REF South,REF,2,6,0,0,0,2,0,0,0,0,50,10,20,10,0,0,0,0,0
2,MA,Essex RUN South,RUN,3,5,0,0,0,3,0,0,0,0,25,20,20,10,0,0,0,0,0
2,MA,Essex RUN North,RUN,2,5,0.5,0,0,4,0,0,0.5,0,35,10,15,10,0,0,0,0,0
3,MA,Essex NAC North,NAC,2,4,0.5,0,0,4,0,0,0,0,40,5,10,0,0,0,0,0,0
3,MA,Ipswich NAC West,NAC,1,6,1,0,1,2,0,0.5,0.5,0,55,0,25,0,,0,0,0,0
3,MA,Ipswich REF West,REF,0,6,0,0,0,2,0,0,0,0,15,0,50,30,0,0,0,0,0
2,MA,Ipswich RUN West,RUN,0,5,0,0,2,3,0,1,1,1,45,0,15,5,0,0,5,0,0
2,RI,JP NAC,NAC,0.5,6,0,0,1,0.5,1,0,0,0,5,0,10,50,0,25,0,0,0
