"","Site","State","Treatment","Year","runnel_age","totalbirds_mean","totalbirds_se","saltysparrow_mean","saltysparrow_se","totalsparrow_mean","totalsparrow_se"
"1","Broad Cove","MA","No Action",2022,NA,10,1,1,1,1,1
"2","Broad Cove","MA","Reference",2022,NA,7,1,1,1,1,1
"3","Broad Cove","MA","Reference",2023,NA,13.5,6.5,1.5,1.5,1.5,1.5
"4","Broad Cove","MA","Runnel",2022,5,7.5,1.5,0,0,0,0
"5","Broad Cove","MA","Runnel",2023,6,13,4,1,0,1,0
"6","Canonchet","RI","No Action",2022,NA,9.5,6.5,2.5,0.5,2.5,0.5
"7","Canonchet","RI","No Action",2023,NA,9,5,3,2,3,2
"8","Canonchet","RI","Reference",2022,NA,4,NA,2,NA,2,NA
"9","Canonchet","RI","Reference",2023,NA,25,13,10.5,3.5,10.5,3.5
"10","Canonchet","RI","Runnel",2022,7,6,NA,3,NA,3,NA
"11","Canonchet","RI","Runnel",2023,8,14.5,0.5,5.5,0.5,5.5,0.5
"12","Essex","MA","No Action",2022,NA,7.8,3,0,0,0,0
"13","Essex","MA","No Action",2023,NA,5.5,2,0.2,0.2,0.2,0.2
"14","Essex","MA","Reference",2022,NA,3.5,1.5,0,0,0,0
"15","Essex","MA","Reference",2023,NA,8,4,0,0,0,0
"16","Essex","MA","Runnel",2022,0,10.5,5.1,0,0,0,0
"17","Essex","MA","Runnel",2023,1,6.2,2.4,0,0,0.2,0.2
"18","Ipswich","MA","No Action",2022,NA,6,1.8,0,0,0,0
"19","Ipswich","MA","No Action",2023,1,2,NA,0,NA,0,NA
"20","Ipswich","MA","No Action",2023,NA,7,NA,0,NA,0,NA
"21","Ipswich","MA","Reference",2022,NA,4.5,2,0,0,0,0
"22","Ipswich","MA","Reference",2023,NA,6,1,0,0,0,0
"23","Ipswich","MA","Runnel",2022,0,10,4,0,0,0,0
"24","Ipswich","MA","Runnel",2023,1,9,NA,0,NA,3,NA
"25","Jacob's Point","RI","No Action",2021,NA,17,9,2,0,2,0
"26","Jacob's Point","RI","No Action",2023,NA,11,0,6,2,6,2
"27","Jacob's Point","RI","Runnel",2021,5,8,1,2.5,0.5,2.5,0.5
