SurveyDate,Observer,Point_ID,StartNorthing,StartEasting,EndNorthing,EndEasting,ScientificName,1,2,3,4,5,6,7,8,9,10,Total
6/28/2023 8:15,DB,BC RUN,41.79237054,-71.13375005,41.79247711,-71.13285253,Spartina patens,,,X,X,X,,X,,,,4
6/28/2023 8:15,DB,BC RUN,41.79237054,-71.13375005,41.79247711,-71.13285253,Distichlis spicata,,X,,,,,,X,,,2
6/28/2023 8:15,DB,BC RUN,41.79237054,-71.13375005,41.79247711,-71.13285253,Toxicodendron radicans,X,,,,,,,,X,,2
6/28/2023 8:15,DB,BC RUN,41.79237054,-71.13375005,41.79247711,-71.13285253,Juncus balticus,,X,,,,,,,,,1
6/28/2023 8:15,DB,BC RUN,41.79237054,-71.13375005,41.79247711,-71.13285253,Thatch,,,X,X,X,X,X,,,,5
6/28/2023 8:15,DB,BC RUN,41.79237054,-71.13375005,41.79247711,-71.13285253,Phragmites australis,,,,,,,,X,,,1
6/28/2023 8:15,DB,BC RUN,41.79237054,-71.13375005,41.79247711,-71.13285253,Upland,,,,,,,,,,X,1
6/28/2023 8:54,DB,BC REF,41.79334676,-71.13344227,41.79354118,-71.13244686,Spartina patens,X,,X,X,,,,X,X,,5
6/28/2023 8:54,DB,BC REF,41.79334676,-71.13344227,41.79354118,-71.13244686,Juncus gerardii,,X,X,,X,X,X,,,,5
6/28/2023 8:54,DB,BC REF,41.79334676,-71.13344227,41.79354118,-71.13244686,Distichlis spicata,,,X,X,,,,,,,2
6/28/2023 8:54,DB,BC REF,41.79334676,-71.13344227,41.79354118,-71.13244686,Thatch,X,,,,X,,X,X,X,,5
6/28/2023 8:54,DB,BC REF,41.79334676,-71.13344227,41.79354118,-71.13244686,Open Water,,,,,,,,,,X,1
6/28/2023 10:20,DB,JP RUN (Sharp 2) [48711_p20],41.71186927,-71.28700387,41.71214139,-71.28815156,Spartina patens,,,,,,X,,,,X,2
