RegionID,HexagonName,State,BirdPtID,Rest_Unit,ContSite,Date,Month,Day,Year,Time,SHARPTide,LowMarshCC,HighMarshCC,SaltMarshTBorderCC,BrackishTBorderCC,InvasivesCC,PannesChannelsCC,OpenWater,UplandCC,Wrack,DeadSnags,DomSp1,Sp1Percent,DomSp2,Sp2Percent,DomSp3,Sp3Percent,DomSp4,Sp4Percent,DomSp5,Sp5Percent,DomSp6,Sp6Percent,DomSp7,Sp7Percent,DomSp8,Sp8Percent,DomSp9,Sp9Percent,DomSp10,Sp10Percent,ObserverInitials,Comments
2,,MA,BC RUN,YES,NA,6/28/2023,6,28,2023,8:15,Low,0,6,2,1,1,1,0,1,0,3,Spartina patens,40,Juncus gerardii,20,Distichlis spicata,20,Iva frutescens,10,Phragmites australis,5,,,,,,,,,,,DB,
2,,MA,BC REF,NA,NA,6/28/2023,6,28,2023,8:54,Low,1,6,0,1,1,0.5,0,1,0,0,Juncus gerardii,60,Spartina patens,15,Distichlis spicata,15,,,,,,,,,,,,,,,DB,
3,48711,RI,JP RUN (Sharp 2) [48711_p20],YES,NA,6/28/2023,6,28,2023,10:30,Low/Rising,0,6,0,0,3,0.5,0,0,0,1,Juncus gerardii,50,Iva frutescens,25,Distichlis spicata,10,Spartina patens,10,Phragmites australis,5,,,,,,,,,,,DB,
3,48711,RI,JP NAC (Sharp 1) [48711_HSH182],NA,YES,6/28/2023,6,28,2023,10:50,Low/Rising,0.5,6,0,0,1,0.5,1,0,0,0,Distichlis spicata,50,Iva frutescens,25,Spartina patens,10,Iva frutescens,5,Spartina alternaflora (short),5,,,,,,,,,,,DB,
3,,RI,SP NAC,NA,YES,6/28/2023,6,28,2023,12:25,High/Rising,2,4,0,0,0,4,1,0,0.5,0,Spartina alternaflora (short),27,Distichlis spicata,15,Spartina patens,5,Salicornia depressa,5,Limonium sp.,5,,,,,,,,,,,DB,
3,,RI,SP RUN South,YES,NA,6/28/2023,6,28,2023,12:55,High/Rising,1,4,1,0,0,5,3,1,0,1,Spartina alternaflora (short),20,Distichlis spicata,10,Spartina patens,5,,,,,,,,,,,,,,,DB,
3,,RI,SP RUN North,YES,NA,6/28/2023,6,28,2023,14:20,High/Rising,2,4,1,0,1,4,0,0.5,0.5,0,Spartina alternaflora (short),35,Distichlis spicata,15,Spartina patens,10,Spartina alternaflora (tall),5,,,,,,,,,,,,,DB,
3,,RI,SP REF,NA,NA,6/28/2023,6,28,2023,14:45,High/Rising,1,5,2,0,0,1,3,1,0.5,1,Distichlis spicata,40,Juncus gerardii,25,Spartina alternaflora (short),20,Spartina patens,5,Iva frutescens,5,,,,,,,,,,,DB,
3,219272,RI,MD REF,NA,NA,6/28/2023,6,28,2023,16:04,High,1,6,2,0,0,1,2,1,0,8,Spartina alternaflora (short),60,Iva frutescens,10,Spartina patens,5,Salicornia depressa,5,,,,,,,,,,,,,DB,
3,219272,RI,MD RUN,YES,NA,6/28/2023,6,28,2023,16:25,High,1,5,1,0,0,1,2,1,0,1,Spartina alternaflora (short),55,Spartina patens,15,Distichlis spicata,5,Iva frutescens,5,Spartina alternaflora (tall),5,,,,,,,,,,,DB,
3,219272,RI,MD NAC,NA,YES,6/28/2023,6,28,2023,17:00,High,0.5,4,2,0,0,5,1,1,0,3,Spartina alternaflora (short),25,Distichlis spicata,5,Salicornia depressa,5,,,,,,,,,,,,,,,DB,
3,51853,RI,WPTL NAC (Sharp 1) [51853_p22],NA,YES,6/29/2023,6,29,2023,8:35,High/Falling,1,5,3,0,0.5,3,0,1,0.5,1,Spartina alternaflora (short),60,Distichlis spicata,10,Spartina patens,5,Salicornia depressa,5,,,,,,,,,,,,,DB,
3,51853,RI,WPTL RUN,YES,NA,6/29/2023,6,29,2023,9:26,High/Falling,1,6,2,0,0,1,0,1,0.5,2,Spartina alternaflora (short),60,Distichlis spicata,15,Spartina alternaflora (tall),5,Spartina patens,5,Iva frutescens,5,,,,,,,,,,,DB,
3,51460,RI,WPTL REF (Sharp 3) [51460_p7],NA,NA,6/29/2023,6,29,2023,11:00,Low/Falling,1,6,0,0,0,1,2,0,0.5,0,Spartina alternaflora (short),25,Spartina alternaflora (tall),20,Spartina patens,10,Salicornia depressa,5,,,,,,,,,,,,,DB,
3,51853,RI,WPF NAC (Sharp 2) [51853_HSH236],NA,YES,6/29/2023,6,29,2023,9:54,High/Falling,2,5,1,0,0,3,0,1,0.5,3,Spartina alternaflora (short),50,Spartina alternaflora (tall),10,Distichlis spicata,5,,,,,,,,,,,,,,,DB,
3,51853,RI,WPF RUN (Sharp 1) [51853_p20],YES,NA,6/29/2023,6,29,2023,10:20,High/Falling,1,6,1,0,0,2,0,0.5,0,2,Spartina alternaflora (short),50,Distichlis spicata,15,Iva frutescens,10,,,,,,,,,,,,,,,DB,
3,220058,RI,PP RUN (Sharp 2) [220058_HSH227],YES,NA,6/29/2023,6,29,2023,12:30,Low/Rising,2,3,0,0,1,5,0,0,0,0,Spartina alternaflora (short),25,Spartina patens,10,Spartina alternaflora (tall),5,,,,,,,,,,,,,,,EG,
3,220058,RI,PP REF (Sharp 1) [220058_HSH228],NA,NA,6/29/2023,6,29,2023,12:50,Low/Rising,1,3,3,0,1,1,4,1,0.5,0,Spartina alternaflora (short),35,Juncus gerardii,10,Iva frutescens,10,Spartina patens,5,,,,,,,,,,,,,EG,
3,220058,RI,PP NAC (Sharp 3) [220058_HSH224],NA,YES,6/29/2023,6,29,2023,13:45,Low/Rising,3,5,0.5,0,0,2,0,0,0,0,Spartina alternaflora (short),55,Spartina patens,20,Spartina alternaflora (tall),15,,,,,,,,,,,,,,,EG,
3,50676,RI,CN REF [50676_p26],NA,NA,6/29/2023,6,29,2023,15:37,High/Rising,0,6,0.5,0,0,0.5,3,0,0.5,0,Spartina alternaflora (short),50,Spartina patens,20,Distichlis spicata,10,Juncus gerardii,5,,,,,,,,,,,,,EG,
3,50676,RI,CN NAC [50676_HMI058],NA,YES,6/29/2023,6,29,2023,16:00,High/Rising,1,6,0,0,0.5,2,0,0,0,0,Spartina alternaflora (short),70,Spartina patens,10,Spartina alternaflora (tall),5,,,,,,,,,,,,,,,EG,
3,50676,RI,CN RUN [50676_p28],YES,NA,6/29/2023,6,29,2023,16:20,High/Rising,1,6,3,0,1,1,0,0,0,0,Spartina alternaflora (short),50,Spartina patens,15,Iva frutescens,15,Distichlis spicata,10,Spartina alternaflora (tall),5,Juncus gerardii,5,,,,,,,,,EG,
3,50676,RI,NR RUN [50676_HMI057],YES,NA,6/30/2023,6,30,2023,8:45,Low/Falling,3,6,2,0.5,0,3,0.5,1,0,0,Spartina alternaflora (short),40,Spartina patens,20,Iva frutescens,10,Distichlis spicata,5,Juncus gerardii,5,,,,,,,,,,,EG,
3,219272,RI,NR REF [219272_HMI056],NA,NA,6/30/2023,6,30,2023,9:07,Low/Falling,0.5,6,0,1,1,2,0,0,0,0,Spartina alternaflora (short),65,Spartina patens,15,Distichlis spicata,10,Schoenoplectus robustus,5,Juncus gerardii,5,,,,,,,,,,,EG,
3,219272,RI,NR NAC [219272_p26],NA,YES,6/30/2023,6,30,2023,9:45,Low/Falling,1,6,0.5,0,0.5,3,0,0,0,0,Spartina alternaflora (short),70,Distichlis spicata,10,Spartina patens,5,Juncus gerardii,5,,,,,,,,,,,,,EG,
3,,RI,RM NAC (Sharp 3),NA,YES,6/30/2023,6,30,2023,10:57,Low,1,6,0,0,0,1,0,0,0,0,Spartina alternaflora (short),70,Spartina patens,15,Spartina alternaflora (tall),10,Distichlis spicata,5,,,,,,,,,,,,,EG,
3,218880,RI,RM RUN (Sharp 2) [218880_p21],YES,NA,6/30/2023,6,30,2023,11:20,Low,1,6,0,0,0,1,0,0,0.5,0,Spartina alternaflora (short),70,Spartina patens,10,Distichlis spicata,5,Spartina alternaflora (tall),5,Juncus gerardii,5,,,,,,,,,,,EG,
3,218880,RI,RM REF (Sharp 1) [218880_p20],NA,NA,6/30/2023,6,30,2023,11:50,Low,1,6,0,0,0,0.5,0,0,0.5,0,Spartina alternaflora (short),70,Spartina patens,10,Distichlis spicata,10,Spartina alternaflora (tall),5,,,,,,,,,,,,,EG,
2,,MA,OTH NAC,NA,YES,7/7/2023,7,7,2023,7:10,Low/Falling,2,5,0,0,1,3,0,0,0.5,0,Spartina alternaflora (short),75,Spartina alternaflora (tall),5,Spartina patens,5,,,,,,,,,,,,,,,EG,
2,,MA,OTH REF,NA,NA,7/7/2023,7,7,2023,8:15,Low/Falling,2,5,1,1,1,2,0,0,1,0,Juncus gerardii,55,Distichlis spicata,20,Spartina alternaflora (tall),10,Argentina anserina ,5,,,,,,,,,,,,,EG,
2,,MA,OTH RUN,YES,NA,7/7/2023,7,7,2023,9:30,Low/Falling,2,6,0,0,0,2,0,0,0,0,Spartina alternaflora (short),65,Spartina patens,15,Distichlis spicata,10,Spartina alternaflora (tall),5,,,,,,,,,,,,,EG,
2,,MA,KI REF,NA,NA,7/11/2023,7,11,2023,8:45,High/Falling,0.5,6,0,0,0,1,0,0,0,0,Spartina patens,65,Spartina alternaflora (short),20,Distichlis spicata,10,Spartina alternaflora (tall),5,,,,,,,,,,,,,JGM,
2,,MA,KI RUN,YES,NA,7/11/2023,7,11,2023,9:30,High/Falling,0,6,0.5,0,0,1,0,0,0.5,0,Spartina alternaflora (short),55,Spartina patens,40,,,,,,,,,,,,,,,,,JGM,
2,,MA,KI NAC,NA,YES,7/11/2023,7,11,2023,10:10,High/Falling,1,6,1,0,0,2,0,1,0,0,Spartina alternaflora (short),55,Spartina patens,25,Distichlis spicata,5,,,,,,,,,,,,,,,JGM,
2,,MA,IP REF,NA,NA,7/12/2023,7,12,2023,11:15,High/Falling,0,6,0,0,0,2,0,0,0,0,Spartina patens,50,Distichlis spicata,30,Spartina alternaflora (short),15,,,,,,,,,,,,,,,JGM,
2,,MA,IP NAC,NA,YES,7/12/2023,7,12,2023,10:50,High,1,6,1,0,1,2,0,0.5,0.5,0,Spartina alternaflora (short),55,Spartina patens,25,,,,,,,,,,,,,,,,,JGM,
2,,MA,IP RUN,YES,NA,7/12/2023,7,12,2023,10:50,High,0,5,0,0,2,3,0,1,1,1,Spartina alternaflora (short),45,Spartina patens,15,Distichlis spicata,5,Phragmites australis,5,,,,,,,,,,,,,JGM,
2,,ME,MM RUN,YES,NA,7/17/2023,7,17,2023,8:10,Low,0.5,5,0,0,0,4,0,0,0,0,Spartina alternaflora (short),40,Spartina patens,25,Distichlis spicata,5,,,,,,,,,,,,,,,JGM,
2,,ME,MM REF,NA,NA,7/17/2023,7,17,2023,9:11,Low,1,6,0,0,0,3,0.5,0,0,0,Distichlis spicata,50,Spartina patens,30,Spartina alternaflora (short),5,Spartina alternaflora (tall),5,,,,,,,,,,,,,JGM,
2,,ME,MM NAC,NA,YES,7/17/2023,7,17,2023,9:45,Low,0.5,4,0,0,0,4,0,0,0,0,Spartina alternaflora (short),25,Spartina patens,15,Ruppia maritima,10,Distichlis spicata,10,,,,,,,,,,,,,JGM,
2,,MA,PI N REF,NA,NA,7/18/2023,7,18,2023,11:20,Low/Rising,3,6,0,0,0,1,0,0,0,0,Spartina patens,35,Spartina alternaflora (short),20,Distichlis spicata,20,Spartina alternaflora (tall),10,Juncus gerardii,5,,,,,,,,,,,JGM,
2,,MA,PI N RUN,YES,NA,7/18/2023,7,18,2023,10:50,Low/Rising,1,5,0,0,0,4,0,0,0.5,0,Spartina patens,30,Spartina alternaflora (short),15,Juncus gerardii,15,Distichlis spicata,5,,,,,,,,,,,,,JGM,
2,,MA,PI NAC,NA,YES,7/18/2023,7,18,2023,9:15,Low/Rising,0,5,0,0,0,4,0,0,0.5,0,Spartina alternaflora (short),50,Spartina patens,10,Ruppia maritima,5,,,,,,,,,,,,,,,JGM,
2,,MA,PI S REF,NA,NA,7/18/2023,7,18,2023,8:54,Low/Rising,3,5,0,0,0,2,0,0,0,0,Spartina patens,40,Distichlis spicata,20,Spartina alternaflora (tall),20,Spartina alternaflora (short),5,,,,,,,,,,,,,JGM,
2,,MA,PI S RUN,YES,NA,7/18/2023,7,18,2023,8:25,Low/Rising,3,5,0.5,0,0,3,0,0,0,0,Spartina patens,40,Spartina alternaflora (tall),20,Spartina alternaflora (short),10,Distichlis spicata,10,,,,,,,,,,,,,JGM,
2,,MA,EX REF,NA,NA,7/19/2023,7,19,2023,9:30,Low/Rising,2,6,0,0,0,2,0,0,0,0,Spartina alternaflora (short),50,Spartina patens,20,Spartina alternaflora (tall),10,Distichlis spicata,10,,,,,,,,,,,,,JGM,
2,,MA,EX RUN1 (South),YES,NA,7/19/2023,7,19,2023,9:45,Low/Rising,3,5,0,0,0,3,0,0,0,0,Spartina alternaflora (short),25,Spartina alternaflora (tall),20,Spartina patens,20,Distichlis spicata,10,,,,,,,,,,,,,JGM,
2,,MA,EX NAC1 (South),NA,YES,7/19/2023,7,19,2023,10:00,Low/Rising,2,5,0,0,0,3,0,0,0,0,Spartina patens,30,Spartina alternaflora (short),20,Spartina alternaflora (tall),15,Distichlis spicata,10,,,,,,,,,,,,,JGM,
2,,MA,EX RUN2 (North),YES,NA,7/19/2023,7,19,2023,10:30,Low/Rising,2,5,0.5,0,0,4,0,0,0.5,0,Spartina alternaflora (short),35,Spartina patens,15,Spartina alternaflora (tall),10,Distichlis spicata,10,,,,,,,,,,,,,JGM,
2,,MA,EX NAC2 (North),NA,YES,7/19/2023,7,19,2023,10:50,Low/Rising,2,4,0.5,0,0,4,0,0,0,0,Spartina alternaflora (short),40,Spartina patens,10,Spartina alternaflora (tall),5,,,,,,,,,,,,,,,JGM,
